ObservationDateTime,Temperature(F),Pressure(mb),PrecipDay(in),PrecipYr(in),WindSpeed(mph),WindDirection_West,WindDirection_South,WindDirection_East,RelativeHumidity,Visibility(mi),Conditions_Scattered,Conditions_Overcast Sky,Conditions_Low Visibility,Conditions_Broken Sky,Month_Jan,Month_Feb,Month_Mar,Month_Apr,Month_May,Month_Jue,Month_Jul,Month_Aug,Month_Sep,Month_Oct,Month_Nov,Month_Dec
2018-05-01 10:55:00+00:00,55.0,1015.92,0.0,4.44,4.6,0.0,1.0,0.0,0.509,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01 16:55:00+00:00,81.0,1015.58,0.0,4.44,15.0,0.0,1.0,0.0,0.368,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01 22:55:00+00:00,82.0,1012.87,0.0,4.44,13.8,0.0,1.0,0.0,0.303,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02 04:55:00+00:00,73.0,1013.89,0.0,4.44,15.0,0.0,1.0,0.0,0.468,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02 10:55:00+00:00,70.0,1012.87,0.0,4.44,9.2,0.0,1.0,0.0,0.53,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02 16:55:00+00:00,82.0,1013.89,0.0,4.44,13.8,1.0,0.0,0.0,0.371,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02 22:55:00+00:00,79.0,1011.52,0.0,4.44,0.0,0.0,0.0,0.0,0.614,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-03 04:55:00+00:00,75.0,1013.89,0.0,4.44,16.1,1.0,0.0,0.0,0.692,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-03 10:55:00+00:00,64.0,1012.19,0.0,4.44,4.6,1.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-03 16:55:00+00:00,73.0,1013.89,0.0,4.44,8.1,0.0,1.0,0.0,0.783,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-03 22:55:00+00:00,72.0,1012.19,0.0,4.44,4.6,0.0,1.0,0.0,0.832,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-04 04:55:00+00:00,68.0,1009.49,0.0,4.44,12.7,0.0,1.0,0.0,0.883,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-04 10:55:00+00:00,66.0,1006.1,0.0,4.44,13.8,0.0,1.0,0.0,0.883,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-04 16:55:00+00:00,68.0,1013.89,0.0,4.44,10.4,0.0,0.0,0.0,0.602,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-04 22:55:00+00:00,75.0,1015.24,0.0,4.44,9.2,1.0,0.0,0.0,0.386,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-05 04:55:00+00:00,61.0,1016.6,0.0,4.44,0.0,0.0,0.0,0.0,0.724,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-05 10:55:00+00:00,50.0,1016.94,0.0,4.44,0.0,0.0,0.0,0.0,0.936,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-05 16:55:00+00:00,79.0,1016.94,0.0,4.44,5.7,1.0,0.0,0.0,0.242,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
